id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
f_S_peak_e.3289,31470.00,S2C_0,12.10,0.00,3.00,31793.00,C2N_1,483.20,13.76,323.00,987.90,143.00,10,0.00,251.51,0,tripinfo_f_S_peak_e.3289,bus,1.00,
f_S_peak_e.3271,31414.00,S2C_0,12.10,0.00,1.00,31796.00,C2N_1,483.20,13.88,382.00,987.90,178.00,17,0.00,310.76,0,tripinfo_f_S_peak_e.3271,bus,1.00,
f_S_peak_e.3283,31450.00,S2C_0,2.30,0.00,1.00,31797.00,C2N_0,483.20,10.21,347.00,997.70,158.00,14,0.00,260.10,0,tripinfo_f_S_peak_e.3283,motorcycle,0.83,
f_S_peak_e.3372,31716.00,S2C_0,3.10,0.00,0.00,31797.00,C2W_0,483.20,13.49,81.00,972.33,0.00,0,0.00,12.07,0,tripinfo_f_S_peak_e.3372,rickshaw,1.03,
f_S_peak_e.3290,31476.00,S2C_0,12.10,0.00,6.00,31799.00,C2N_2,483.20,13.74,323.00,987.90,134.00,15,0.00,251.83,0,tripinfo_f_S_peak_e.3290,bus,1.00,
f_S_peak_e.3295,31487.00,S2C_0,2.30,0.00,2.00,31802.00,C2N_1,483.20,11.37,315.00,997.70,136.00,12,0.00,238.63,0,tripinfo_f_S_peak_e.3295,motorcycle,0.94,
f_S_peak_e.3269,31407.00,S2C_0,2.30,0.00,0.00,31803.00,C2N_0,483.20,11.11,396.00,997.70,184.00,17,0.00,306.21,0,tripinfo_f_S_peak_e.3269,motorcycle,0.80,
f_N_peak_e.2657,31407.00,N2C_0,2.30,0.00,1836.00,31804.00,C2W_1,483.20,13.16,397.00,993.77,231.00,17,0.00,330.06,0,tripinfo_f_N_peak_e.2657,motorcycle,1.08,
f_S_peak_e.3294,31485.00,S2C_0,2.30,0.00,3.00,31804.00,C2N_1,483.20,15.18,319.00,997.70,137.00,11,0.00,254.23,0,tripinfo_f_S_peak_e.3294,motorcycle,1.12,
f_S_peak_e.3285,31455.00,S2C_0,2.30,0.00,0.00,31805.00,C2N_2,483.20,11.04,350.00,997.70,147.00,16,0.00,268.70,0,tripinfo_f_S_peak_e.3285,motorcycle,0.89,
f_S_peak_e.3292,31482.00,S2C_0,2.30,0.00,6.00,31805.00,C2N_0,483.20,11.96,323.00,997.70,139.00,14,0.00,241.71,0,tripinfo_f_S_peak_e.3292,motorcycle,0.89,
f_S_peak_e.3300,31500.00,S2C_0,2.30,0.00,0.00,31805.00,C2N_1,483.20,15.43,305.00,997.70,134.00,12,0.00,242.37,0,tripinfo_f_S_peak_e.3300,motorcycle,1.15,
f_N_peak_e.2663,31421.00,N2C_0,4.60,0.00,1832.00,31806.00,C2W_1,483.20,14.26,385.00,991.47,206.00,13,0.00,315.01,0,tripinfo_f_N_peak_e.2663,car,1.04,
f_S_peak_e.3330,31590.00,S2C_0,4.60,0.00,0.00,31806.00,C2E_1,483.20,13.18,216.00,991.47,114.00,5,0.00,144.59,0,tripinfo_f_S_peak_e.3330,car,1.01,
