id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
f_E_peak_e.2590,31432.00,E2C_0,4.60,0.00,2062.00,31658.00,C2S_0,483.20,14.08,226.00,970.83,118.00,5,0.00,158.30,0,tripinfo_f_E_peak_e.2590,car,1.04,
f_S_peak_e.2164,28537.00,S2C_0,3.10,0.00,445.00,31659.00,C2E_3,483.20,14.02,3122.00,992.97,2649.00,96,0.00,3053.33,0,tripinfo_f_S_peak_e.2164,rickshaw,1.06,
f_N_peak_e.2176,28411.00,N2C_0,4.60,0.00,283.00,31659.00,C2W_0,483.20,12.21,3248.00,991.47,2551.00,136,0.00,3168.16,0,tripinfo_f_N_peak_e.2176,car,0.90,
f_N_peak_e.2239,28700.00,N2C_0,2.30,0.00,383.00,31659.00,C2W_2,483.20,14.72,2959.00,993.77,2270.00,144,0.00,2893.17,0,tripinfo_f_N_peak_e.2239,motorcycle,1.11,
f_W_peak_e.3307,31521.00,W2C_0,4.60,0.00,0.00,31660.00,C2E_1,483.20,15.46,139.00,995.40,60.00,1,0.00,74.63,0,tripinfo_f_W_peak_e.3307,car,1.12,
f_E_peak_e.2472,31140.00,E2C_0,8.10,0.00,2124.00,31664.00,C2W_2,483.20,14.37,524.00,991.90,316.00,22,0.00,455.43,0,tripinfo_f_E_peak_e.2472,truck,1.05,
f_E_peak_e.2584,31419.00,E2C_0,2.30,0.00,2067.00,31664.00,C2W_1,483.20,12.77,245.00,997.70,134.00,5,0.00,173.15,0,tripinfo_f_E_peak_e.2584,motorcycle,1.00,
f_N_peak_e.2200,28483.00,N2C_0,2.30,0.00,283.00,31665.00,C2W_0,483.20,9.94,3182.00,993.77,2473.00,151,0.00,3099.11,0,tripinfo_f_N_peak_e.2200,motorcycle,0.87,
f_W_peak_e.3313,31539.00,W2C_0,4.60,0.00,0.00,31665.00,C2N_1,483.20,14.03,126.00,970.83,44.00,1,0.00,60.42,0,tripinfo_f_W_peak_e.3313,car,1.09,
f_E_peak_e.2443,31066.00,E2C_0,2.30,0.00,2137.00,31666.00,C2W_1,483.20,14.55,600.00,997.70,237.00,21,0.00,531.09,0,tripinfo_f_E_peak_e.2443,motorcycle,1.06,
f_S_peak_e.2029,27972.00,S2C_0,4.60,0.00,285.00,31667.00,C2E_0,483.20,10.20,3695.00,991.47,3324.00,93,0.00,3599.40,0,tripinfo_f_S_peak_e.2029,car,0.76,
f_W_peak_e.3308,31524.00,W2C_0,12.10,0.00,0.00,31667.00,C2N_1,483.20,13.86,143.00,963.33,53.00,1,0.00,72.29,0,tripinfo_f_W_peak_e.3308,bus,1.00,
f_E_peak_e.2347,30324.00,E2C_0,4.60,0.00,1683.00,31668.00,C2W_0,483.20,10.92,1344.00,995.40,705.00,65,0.00,1260.36,0,tripinfo_f_E_peak_e.2347,car,0.86,
f_E_peak_e.2429,30989.00,E2C_0,2.30,0.00,2102.00,31668.00,C2W_2,483.20,13.90,679.00,997.70,292.00,20,0.00,610.20,0,tripinfo_f_E_peak_e.2429,motorcycle,1.05,
f_E_peak_e.2588,31428.00,E2C_0,4.60,0.00,2064.00,31668.00,C2W_1,483.20,13.23,240.00,995.40,128.00,8,0.00,166.16,0,tripinfo_f_E_peak_e.2588,car,0.98,
f_E_peak_e.2430,30991.00,E2C_0,2.30,0.00,2101.00,31669.00,C2W_3,483.20,13.63,678.00,997.70,304.00,19,0.00,614.66,0,tripinfo_f_E_peak_e.2430,motorcycle,1.13,
f_E_peak_e.2585,31421.00,E2C_0,2.30,0.00,2066.00,31669.00,C2W_1,483.20,14.31,248.00,997.70,127.00,11,0.00,186.13,0,tripinfo_f_E_peak_e.2585,motorcycle,1.16,
f_W_peak_e.3304,31512.00,W2C_0,4.60,0.00,0.00,31670.00,C2N_0,483.20,10.36,158.00,970.83,55.00,1,0.00,68.26,0,tripinfo_f_W_peak_e.3304,car,0.78,
f_W_peak_e.3325,31575.00,W2C_0,3.10,0.00,0.00,31670.00,C2N_1,483.20,13.92,95.00,972.33,5.00,1,0.00,24.68,0,tripinfo_f_W_peak_e.3325,rickshaw,1.01,
f_W_peak_e.3303,31509.00,W2C_0,2.30,0.00,0.00,31671.00,C2E_0,483.20,11.03,162.00,997.70,62.00,3,0.00,78.77,0,tripinfo_f_W_peak_e.3303,motorcycle,0.87,
f_W_peak_e.3309,31527.00,W2C_0,2.30,0.00,0.00,31671.00,C2E_1,483.20,12.05,144.00,997.70,52.00,2,0.00,71.32,0,tripinfo_f_W_peak_e.3309,motorcycle,0.99,
f_E_peak_e.2517,31241.00,E2C_0,3.10,0.00,2090.00,31672.00,C2W_2,483.20,14.20,431.00,996.90,207.00,15,0.00,361.59,0,tripinfo_f_E_peak_e.2517,rickshaw,1.04,
f_W_peak_e.3310,31530.00,W2C_0,2.30,0.00,0.00,31672.00,C2E_1,483.20,12.73,142.00,997.70,53.00,1,0.00,70.63,0,tripinfo_f_W_peak_e.3310,motorcycle,1.01,
f_E_peak_e.2387,30535.00,E2C_0,4.60,0.00,1774.00,31673.00,C2W_1,483.20,13.32,1138.00,995.40,872.00,53,0.00,1068.94,0,tripinfo_f_E_peak_e.2387,car,1.05,
f_E_peak_e.2586,31422.00,E2C_0,2.30,0.00,2064.00,31674.00,C2W_0,483.20,12.63,252.00,997.70,134.00,7,0.00,173.37,0,tripinfo_f_E_peak_e.2586,motorcycle,0.91,
f_W_peak_e.3305,31515.00,W2C_0,2.30,0.00,0.00,31676.00,C2E_0,483.20,10.59,161.00,997.70,57.00,1,0.00,74.02,0,tripinfo_f_W_peak_e.3305,motorcycle,0.83,
f_W_peak_e.3314,31542.00,W2C_0,2.30,0.00,0.00,31676.00,C2E_1,483.20,11.93,134.00,997.70,40.00,1,0.00,57.60,0,tripinfo_f_W_peak_e.3314,motorcycle,0.95,
f_W_peak_e.3327,31581.00,W2C_0,4.60,0.00,0.00,31677.00,C2E_2,483.20,14.95,96.00,995.40,14.00,1,0.00,31.86,0,tripinfo_f_W_peak_e.3327,car,1.13,
f_E_peak_e.2360,30408.00,E2C_0,2.30,0.00,1728.00,31678.00,C2W_0,483.20,11.98,1270.00,997.70,702.00,81,0.00,1195.20,0,tripinfo_f_E_peak_e.2360,motorcycle,0.96,
f_W_peak_e.3316,31548.00,W2C_0,3.10,0.00,0.00,31678.00,C2E_0,483.20,12.39,130.00,996.90,34.00,1,0.00,52.05,0,tripinfo_f_W_peak_e.3316,rickshaw,0.92,
f_W_peak_e.3324,31572.00,W2C_0,3.10,0.00,0.00,31678.00,C2E_1,483.20,14.44,106.00,996.90,16.00,1,0.00,38.25,0,tripinfo_f_W_peak_e.3324,rickshaw,1.06,
